batch,run_chid,job_attempt_id,run_core_sha256,attempt_input_sha256,registered_attempt_input_sha256,input_hash_match,fds_version_actual,formal_version_match,version_policy,quality_status,scheduler_log_status,scheduler_log_issue,out_completed_successfully,devc_t_final_s,hrr_t_final_s,hrr_closure_rel_error_tail,full_field_present,allocated_cores,wall_clock_s,status
D1,d_q018_s35_x50_g25_r104729,d_q018_s35_x50_g25_r104729_a01,de5317f4288d68b5f4f0fd735f46bc367fc184f2fb4a369eda746226168bb8f2,db160c66ae8da937c5cff0f76c976a3d41ae1e8bb8c8ca36fa0804433d1b3b1d,db160c66ae8da937c5cff0f76c976a3d41ae1e8bb8c8ca36fa0804433d1b3b1d,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0009461874556064572,True,21,5749.847,PASS
D1,d_q027_s45_x40_g25_r104729,d_q027_s45_x40_g25_r104729_a01,61a83f2243aea5a8af5c0ff1dc690a44cd487409cd8b6737437543ad8628ec38,719a92372dc5ecd5affd39fb62135a19ec8b6f549d106b7321590494657992b1,719a92372dc5ecd5affd39fb62135a19ec8b6f549d106b7321590494657992b1,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0011684652928747848,True,21,5749.984,PASS
D1,d_q027_s45_x50_g25_r104729,d_q027_s45_x50_g25_r104729_a01,9aeb8078232ddca50acbd829149be9d4135a14daa1699c317d5e282be12a1f1f,f1cd6daa6da157eb972e78cdecf21c76a74d4bfac11007f62ae0b7328696fc7c,f1cd6daa6da157eb972e78cdecf21c76a74d4bfac11007f62ae0b7328696fc7c,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0005001367567045083,True,21,5916.88,PASS
D1,d_q027_s45_x60_g25_r104729,d_q027_s45_x60_g25_r104729_a01,2366127f9aba3ffaa077c5616f053e79ed90bf4049788cf876065e995e89ec89,74194cdbe4ae1a9cdafade6915796fe19fbcf9c337c6b7ab5f6fc33d68d75656,74194cdbe4ae1a9cdafade6915796fe19fbcf9c337c6b7ab5f6fc33d68d75656,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0004416884615663096,True,21,5926.648,PASS
D1,d_q036_s50_x50_g25_r104729,d_q036_s50_x50_g25_r104729_a01,3c371fad54ba7eb3cad6fee9d42a74dc3ab2cce4e949a2c8f7b2e3f412a70046,776e8f154a8112ec254c9162e59fcbe4400c5d1039d54c55ea448a1e381da764,776e8f154a8112ec254c9162e59fcbe4400c5d1039d54c55ea448a1e381da764,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0025402885304659623,True,21,5954.147,PASS
D2,d_q018_s45_x50_g25_r104729,d_q018_s45_x50_g25_r104729_a01,98097a3684a14060cc38415ceca04ce37eba61ccde4f213360abe72a7878dc7f,75c314ae33366414020ce5e98b41fda8dbdb2621a76562a5ac23edf34f9ceabc,75c314ae33366414020ce5e98b41fda8dbdb2621a76562a5ac23edf34f9ceabc,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0004881068018907343,True,21,5312.56,PASS
D2,d_q018_s50_x50_g25_r104729,d_q018_s50_x50_g25_r104729_a01,0b2e2f68eb56f082276f748ad51bfc9fdf5f4b3e88380cc3923b36214a8aa1a5,406e63d8e8587d950689e5c96b27cc2e24f14582d097c7d1ca83da8ed31a1f10,406e63d8e8587d950689e5c96b27cc2e24f14582d097c7d1ca83da8ed31a1f10,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0003546326164875306,True,21,4999.36,PASS
D2,d_q027_s35_x50_g25_r104729,d_q027_s35_x50_g25_r104729_a01,f439321bfb672d01579ca621aaf8f27647dbaa9a9ada0627c876539ecd3c4edc,257708dfa59939fc6fdbf8d94bf2f1c0eb55438337687e4f8b1688a75a41632b,257708dfa59939fc6fdbf8d94bf2f1c0eb55438337687e4f8b1688a75a41632b,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.003250540415149968,True,21,6159.635,PASS
D2,d_q027_s50_x50_g25_r104729,d_q027_s50_x50_g25_r104729_a01,86afea6fb20cf62f3dbe0662993d093969e0d95f5d3a3adc9265964c282e8151,8f9266b09b326ab17802501e22ba5f40fe1f06743ea3305bfba56864ecbeaffa,8f9266b09b326ab17802501e22ba5f40fe1f06743ea3305bfba56864ecbeaffa,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.000553884109916436,True,21,5634.019,PASS
D2,d_q036_s35_x50_g25_r104729,d_q036_s35_x50_g25_r104729_a01,cc40e40584ce6f474f81884650ed6cc9fd01ad36bf1028fea2a007ad58fb55ae,b5888c334dac02816dae6ccd0708a4e72259b08e196b97baca0607f2bd05b9fa,b5888c334dac02816dae6ccd0708a4e72259b08e196b97baca0607f2bd05b9fa,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0014931228619692032,True,21,6573.436,PASS
